Country,Indicator,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Mali,Expenditures(USMillion),26,27,25,28,36,47,91,105,136,142,149,175,227,286,196,208,218,144,178,214,186,202,207,231,235,82,..
Malta,Expenditures(USMillion),813,780,789,818,841,731,704,757,869,949,924,966,"1,185",..,..,..,..,..,..,..,..,..,..,..,..,..,..
Marshall Islands,Expenditures(USMillion),2.5,3.0,3.0,3.0,2.9,3.0,3.1,3.4,4.0,5.0,3.7,3.6,3.3,2.7,3.1,3.7,4.8,4.1,4.3,5.4,1.5,30,18,20,3.9,4.3,..
Mauritania,Expenditures(USMillion),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,50,50,42,31,33,24,6.1,13.7,6.4,6.6
Mauritius,Expenditures(USMillion),616,705,666,672,718,732,820,829,960,"1,156","1,189","1,302","1,663","1,823","1,390","1,585","1,808","1,778","1,593","1,719","1,680","1,824","2,005","2,161","2,024",518,383
Mexico,Expenditures(USMillion),"6,847","7,531","8,184","8,307","8,135","9,133","9,190","9,547","10,058","11,609","12,801","13,329","14,055","14,726","12,542","12,628","12,458","13,320","14,311","16,606","18,729","20,619","22,467","23,802","25,847","11,455","20,554"
"Micronesia, Fed. Sts.",Expenditures(USMillion),..,..,16,13,14,17,15,17,17,19,21,23,25,27,..,..,..,..,..,..,..,..,..,..,..,..,..
Moldova,Expenditures(USMillion),71,50,74,64,49,57,58,72,79,112,138,150,229,293,240,222,253,279,324,328,300,344,442,500,521,353,484
Mongolia,Expenditures(USMillion),33,20,25,47,43,43,49,143,154,205,203,261,349,272,253,288,197,215,236,257,279,379,462,526,605,49,34
Montenegro,Expenditures(USMillion),..,..,..,..,..,..,..,..,..,..,..,..,660,859,792,765,926,860,929,959,947,978,"1,110","1,224","1,276",180,902
Morocco,Expenditures(USMillion),"1,469","1,857","1,649","1,934","2,177","2,280","2,966","3,157","3,802","4,540","5,426","6,900","8,307","8,885","7,980","8,176","9,101","8,491","8,201","9,070","7,765","7,922","9,086","9,520","9,949","4,514","4,641"
Mozambique,Expenditures(USMillion),..,..,..,..,..,..,..,65,106,96,138,145,182,213,217,135,171,224,228,225,202,114,164,331,324,113,188
Myanmar,Expenditures(USMillion),169,215,183,196,222,195,132,136,70,97,83,59,97,80,75,91,334,550,964,"1,687","2,199","2,289","1,988","1,670","2,501",..,..
