Country,Indicator,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Guatemala,Overnight(thousands),,,,,,,,,,,,,"1,448","1,527","1,055","1,119","1,160","1,200","1,224","1,371","1,473","1,585","1,667","1,781","1,752",396,602
Guatemala,OneDay(thousands),,,,,,,,,,11,18,35,179,188,256,264,275,291,291,368,392,321,454,625,807,198,64
Guatemala,Cruise(thousands),,,,,,,,,,11,18,35,42,63,81,72,72,73,72,71,77,104,129,150,131,42,4
Guinea,Total(thousands),,,,,,,,,,,,47,,,,,,,,,,,,,,,
Guinea,Overnight(thousands),,12,17,23,27,33,38,43,44,45,45,46,30,24,,12,131,96,56,33,35,63,99,,,,
Guinea-Bissau,Overnight(thousands),,,,,,,8,,,,5,12,16,18,16,22,37,35,36,36,44,45,50,55,52,,
Guyana,Overnight(thousands),106,92,76,66,75,105,99,104,101,122,117,113,134,130,141,152,157,177,200,206,207,235,247,287,315,87,158
Haiti,Total(thousands),370,400,387,393,386,445,499,482,518,385,480,558,868,758,826,793,946,959,"1,064","1,128","1,190","1,153","1,262","1,333",938,322,148
Haiti,Overnight(thousands),145,150,149,147,143,140,142,140,136,96,112,108,386,258,387,255,349,349,420,465,516,445,467,447,286,203,148
Haiti,OneDay(thousands),225,250,238,246,243,305,357,342,382,289,368,450,482,500,439,538,597,610,644,662,674,708,795,885,652,119,0
Haiti,Cruise(thousands),225,250,238,246,243,305,357,342,382,289,368,450,482,500,439,538,597,610,644,662,674,708,795,885,652,119,0
Honduras,Total(thousands),,271,310,324,428,689,672,788,887,"1,026","1,118","1,136","1,309","1,561","1,589","1,965","1,852","1,903","1,857","2,082","2,093","2,228","2,144","2,323","2,315",669,826
Honduras,Overnight(thousands),271,263,307,321,371,471,518,550,611,641,673,739,804,869,836,863,871,895,863,868,880,838,850,847,724,204,459
Honduras,OneDay(thousands),,8,3,3,57,218,154,239,276,385,445,398,505,693,754,"1,103",980,"1,009",994,"1,214","1,212","1,390","1,294","1,477","1,590",465,367
Honduras,Cruise(thousands),,8,3,3,57,218,154,125,162,267,277,205,297,434,430,803,787,655,708,943,918,"1,053","1,104","1,289","1,395",393,314
"Hong Kong SAR, China",Total(thousands),"10,200","12,974","11,273","10,160","11,328","13,059","13,725","16,566","15,537","21,811","23,359","25,251","28,169","29,507","29,591","36,030","41,921","48,615","54,299","60,839","59,308","56,655","58,472","65,148","55,913","3,569",91
"Hong Kong SAR, China",Overnight(thousands),,,,"7,137","7,837","8,814","8,878","10,689","9,676","13,655","14,773","15,821","17,154","17,319","16,926","20,085","22,316","23,770","25,661","27,770","26,686","26,553","27,884","29,263","23,752","1,359",89
"Hong Kong SAR, China",OneDay(thousands),5,7,8,"3,023","3,492","4,246","4,847","5,878","5,861","8,156","8,586","9,430","11,015","12,187","12,665","15,945","19,605","24,845","28,638","33,068","32,622","30,102","30,588","35,885","32,160","2,210",2
"Hong Kong SAR, China",Cruise(thousands),5,7,8,11,8,9,9,13,4,9,19,20,27,27,44,48,40,39,23,34,37,109,97,112,123,10,
Hungary,Total(thousands),"39,240","39,833","37,315","33,624","28,803","31,141","30,679","31,739","31,412","33,934","36,173","38,318","39,379","39,554","40,624","39,904","41,304","43,565","43,611","45,984","48,345","52,890","54,962","57,667","61,397","31,641","36,688"
Hungary,Overnight(thousands),"2,878","2,979","2,887","2,871","2,789","2,992","3,070","3,013","2,948","12,212","9,979","9,259","8,638","8,814","9,058","9,510","10,250","10,353","10,624","12,140","14,316","15,255","15,785","17,552","16,937","7,417","7,929"
Hungary,OneDay(thousands),,,,,,,,,,"21,722","26,194","29,059","30,741","30,740","31,565","30,394","31,054","33,212","32,987","33,844","34,029","37,635","39,176","40,115","44,460","24,224","28,758"
Hungary,Cruise(thousands),,,,,,,,,,518,428,232,179,,,,,,,,,,,,,,
Iceland,Total(thousands),211,223,223,255,281,328,329,315,348,405,429,477,539,561,563,559,628,765,900,"1,102","1,389","1,891","2,353","2,488","2,202",488,717
Iceland,Overnight(thousands),190,201,202,232,263,303,301,285,317,360,374,422,485,502,494,489,566,673,807,997,"1,289","1,792","2,225","2,344","2,013",486,698
Iceland,OneDay(thousands),21,22,21,23,18,25,28,30,31,45,55,55,54,59,69,70,63,92,92,105,100,99,128,145,189,1,19
Iceland,Cruise(thousands),21,22,21,23,18,25,28,30,31,45,55,55,54,59,69,70,63,92,92,105,100,99,128,145,189,1,19
India,Total(thousands),"2,143","2,308","2,395","2,382","2,508","2,677","2,591","2,428","2,774","3,512","4,038","4,626","5,244","5,373","5,295","5,881",,,,,,,"15,543","17,423","17,914","6,337","7,010"
India,Overnight(thousands),"2,124","2,288","2,374","2,359","2,482","2,649","2,537","2,384","2,726","3,457","3,919","4,447","5,082","5,283","5,168","5,776","6,309","6,578","6,968","13,107","13,284","14,570",,,"17,754","6,291","6,989"
India,OneDay(thousands),19,20,21,23,26,28,54,44,48,55,119,179,162,90,127,105,,,,,,,,,160,46,21
India,Cruise(thousands),19,20,21,23,26,28,54,44,48,55,119,179,162,90,127,105,,,,,,,,,13,2,1
Indonesia,Total(thousands),"4,324","5,034","5,185","4,606","4,728","5,064","5,153","5,033","4,467","5,321","5,002","4,871","5,506","6,234","6,324","7,003","7,650","8,044","8,802","9,435","10,407","11,519","14,040","15,810","16,107","4,053","1,558"
Indonesia,Overnight(thousands),,,,,,,,,,,,,,,,,,,,,"9,963","11,072","12,948","13,396","15,455","3,915","1,546"
Indonesia,OneDay(thousands),,,,,,,,,,,,,,,,,,,,,444,447,"1,092","2,414",652,137,11
Indonesia,Cruise(thousands),,,,,,,,,,,,,,,,,,,,,,,,,,,
"Iran, Islamic Rep.",Total(thousands),452,573,764,"1,008","1,321","1,342","1,402","1,585","1,546","1,659","1,889","2,735","2,219","2,034","2,116","2,938","3,354","3,834","4,769","4,968","5,237","4,942","4,867","7,295","9,107","1,550",989
"Iran, Islamic Rep.",Overnight(thousands),,,,,,,,,,,,,,,,,,,,,,,,,,,882
"Iran, Islamic Rep.",OneDay(thousands),,,,,,,,,,,,,,,,,,,,,,,,,,,107
Iraq,Total(thousands),61,51,15,45,30,78,127,,,,,,,864,"1,262","1,518","1,510","1,111",892,,,,,,,,
Ireland,Overnight(thousands),"4,818","5,289","5,587","6,064","6,403","6,646","6,353","6,476","6,764","6,953","7,333","8,001","8,332","8,026","7,189","7,134","7,630","7,550","8,260","8,813","9,528","10,100","10,338","10,926","10,951",,
Ireland,OneDay(thousands),,245,336,364,344,345,344,305,334,349,367,424,422,551,479,439,489,478,595,776,894,"1,157","1,205","1,340","1,450",,
Israel,Total(thousands),"2,530","2,360","2,295","2,200","2,566","2,672","1,219",862,,"1,506","1,916","1,834","2,294","3,034","2,740","3,444","3,362","3,520","3,540","3,251","3,109","3,070","3,863","4,389","4,905",887,402
Israel,Overnight(thousands),"2,215","2,100","2,010","1,942","2,312","2,417","1,196",862,"1,063","1,506","1,903","1,825","2,067","2,572","2,321","2,803","2,820","2,886","2,962","2,927","2,799","2,900","3,613","4,121","4,552",831,397
Israel,OneDay(thousands),318,260,285,258,254,255,23,0.3,,0.2,13,9,227,462,418,641,542,635,578,324,309,170,250,269,353,56,6
Israel,Cruise(thousands),318,260,285,258,254,255,23,0.3,,0.2,13,9,26,46,68,169,237,251,257,88,95,75,54,46,94,12,
Italy,Total(thousands),"55,706","59,805","57,998","58,499","59,521","62,702","60,960","63,561","63,026","58,480","59,230","66,353","70,271","70,719","71,692","73,225","75,866","76,293","76,762","77,694","81,068","84,925","89,931","93,229","95,399","38,419","40,186"
Italy,Overnight(thousands),"31,052","34,080","34,692","34,933","36,516","41,181","39,563","39,799","39,604","37,071","36,513","41,058","43,654","42,734","43,239","43,626","46,119","46,360","47,704","48,576","50,732","52,372","58,253","61,567","64,513","25,190","26,888"
Italy,OneDay(thousands),"24,654","25,726","23,306","23,567","23,005","21,522","21,397","23,762","23,422","21,409","22,717","25,295","26,617","27,985","28,453","29,599","29,747","29,933","29,058","29,118","30,336","32,552","31,678","31,661","30,886","13,229","13,298"
Jamaica,Total(thousands),"1,752","1,821","1,904","1,899","2,013","2,230","2,117","2,131","2,483","2,515","2,615","3,016","2,880","2,859","2,753","2,832","3,077","3,306","3,274","3,504","3,692","3,837","4,276","4,319","4,234","1,330","1,535"
Jamaica,Overnight(thousands),"1,147","1,162","1,192","1,225","1,248","1,323","1,277","1,266","1,350","1,415","1,479","1,679","1,701","1,767","1,831","1,922","1,952","1,986","2,008","2,080","2,123","2,182","2,353","2,473","2,681",880,"1,464"
Jamaica,OneDay(thousands),605,658,712,674,764,908,840,865,"1,133","1,100","1,136","1,337","1,180","1,092",922,910,"1,125","1,320","1,265","1,424","1,569","1,656","1,923","1,846","1,553",449,71
Jamaica,Cruise(thousands),605,658,712,674,764,908,840,865,"1,133","1,100","1,136","1,337","1,180","1,092",922,910,"1,125","1,320","1,265","1,424","1,569","1,656","1,923","1,846","1,553",449,71
Japan,Total(thousands),"3,345","3,837","4,218","4,106","4,438","4,757","4,772","5,239","5,212","6,138","6,728","7,334","8,347","8,351","6,790","8,611","6,219","8,358","10,364","13,413","19,737","24,039","28,691","31,191","31,881","4,116",246
Jordan,Total(thousands),"3,277","3,164","3,068","3,438","3,231","2,700","3,034","4,677","4,600","5,587","5,817","6,573","6,529","7,100","7,085","8,078","6,813","6,314","5,389","5,327","4,809","4,236","4,565","4,922","5,361","1,240","2,359"
Jordan,Overnight(thousands),"1,075","1,106","1,132","1,772","1,790","1,580","1,672","2,384","2,353","2,853","2,987","3,225","3,431","3,729","3,789","4,207","3,960","4,162","3,945","3,990","3,761","3,567","3,844","4,150","4,488","1,067","2,012"
Jordan,OneDay(thousands),7,16,15,"1,666","1,441","1,120","1,362","2,293","2,247","2,734","2,831","3,348","3,098","3,372","3,295","3,871","2,853","2,152","1,444","1,337","1,048",669,722,772,872,173,347
Jordan,Cruise(thousands),7,16,15,12,10,10,11,4,3,9,26,41,45,32,41,74,72,85,96,36,34,56,56,74,95,5,12
Kazakhstan,Total(thousands),,202,284,257,394,"1,683","2,693","3,678","3,237","4,291","4,365","4,707","5,311","4,117","3,774","4,097","5,685","6,163","6,841","6,333","6,430","6,509","7,701","8,789","8,515","2,035","1,330"
Kazakhstan,Overnight(thousands),,,,,,"1,471","1,845","2,832","2,410","3,073","3,143","3,468","3,876","3,005","2,755","2,991","4,093","4,437","4,926","4,560",,,,,,,
Kazakhstan,OneDay(thousands),,,,,,212,848,846,827,"1,218","1,222","1,239","1,435","1,112","1,019","1,106","1,592","1,726","1,915","1,773",,,,,,,
Kenya,Total(thousands),974,"1,003","1,001",894,969,"1,037",994,"1,001","1,146","1,361","1,479","1,601","1,817","1,203","1,490","1,609","1,823","1,711","1,520","1,350","1,181","1,340","1,449","2,025","2,049",568,870
Kenya,Overnight(thousands),918,947,928,792,862,899,841,838,927,"1,199","1,399","1,464","1,686","1,141","1,392","1,470","1,750","1,619","1,434","1,261","1,114","1,268","1,364",,,,
Kenya,OneDay(thousands),56,56,72,102,107,138,153,163,219,162,80,137,131,62,98,139,73,92,86,89,66,72,85,,,,
Kiribati,Total(thousands),,,,,20,13,15,120,130,64,50,11,32,,,,,,,8.3,8.2,7.6,7.5,9,12,,
Kiribati,Overnight(thousands),3.9,4.2,5.1,5.7,5.1,4.8,4.6,4.9,4.9,3.4,4.1,4.4,4.7,3.9,3.9,4.7,5.3,4.9,5.9,5,3.9,5.7,5.8,7.1,7.9,1.4,0.1
Kiribati,OneDay(thousands),,,,,15,9,10,115,125,61,46,6,28,,,,,,,3.3,4.3,1.9,1.7,1.9,4.1,,
Kiribati,Cruise(thousands),,,,,15,9,10,115,125,61,46,6,28,,,,,,,,,,,,,,
"Korea, Rep.",Total(thousands),"3,753","3,684","3,908","4,250","4,660","5,322","5,147","5,347","4,753","5,818","6,023","6,155","6,448","6,891","7,818","8,798","9,795","11,140","12,176","14,202","13,232","17,242","13,336","15,347","17,503","2,519",967
"Korea, Rep.",OneDay(thousands),,,,,,,,,,,,,,,,,,,699,955,"1,046","2,258",505,218,279,3,0
"Korea, Rep.",Cruise(thousands),,,,,,,,,,,,,,,,,,,699,955,"1,046","2,258",505,218,279,3,0
Kuwait,Total(thousands),"1,443","1,565","1,638","1,763","1,884","1,944","2,072","2,316","2,602","3,056","3,474","3,899","4,482","4,736","5,088","5,208","5,574","5,729","6,217","6,528","6,941","7,055","7,407","8,508","8,565","2,161","1,606"
Kuwait,Overnight(thousands),72,76,79,77,84,78,73,96,94,91,104,185,293,259,297,207,269,300,307,198,182,203,183,200,153,86,85
Kyrgyz Republic,Total(thousands),,,,290,165,173,199,183,342,398,319,766,"1,656","2,379","2,451","1,224","3,025","3,393","4,134","3,791","4,000","3,853","4,568","6,947","8,508","2,079","3,169"
Kyrgyz Republic,Overnight(thousands),36,42,87,59,48,59,99,140,,,,185,243,304,283,259,337,348,415,413,402,321,421,423,235,69,144
Lao PDR,Total(thousands),346,403,463,500,614,737,674,736,636,895,"1,095","1,215","1,624","1,737","2,008","2,513","2,724","3,330","3,779","4,159","4,684","4,239","3,869","4,186","4,791",886,
Lao PDR,Overnight(thousands),60,93,193,200,259,191,173,215,196,407,672,842,"1,142","1,295","1,239","1,670","1,894","2,291","2,700","3,164","3,543","3,315","3,257","3,770","4,384",812,
Lao PDR,OneDay(thousands),286,310,270,300,355,546,501,521,440,488,423,373,482,442,769,843,830,"1,039","1,079",995,"1,141",924,612,417,407,75,
Latvia,Total(thousands),"1,633","1,750","1,842","1,788","1,738","1,882","2,061","2,297","2,524","3,127","3,791","4,649","5,209","5,496","4,727","5,042","5,538","5,569","5,822","6,246","6,842","6,797","7,726","7,775","8,342","3,204","1,937"
Latvia,Overnight(thousands),539,565,635,576,544,509,591,848,971,"1,079","1,116","1,535","1,653","1,684","1,323","1,373","1,493","1,435","1,536","1,843","2,024","1,793","1,949","1,946","1,935",636,478
Latvia,OneDay(thousands),,"1,148","1,189","1,225","1,174","1,405","1,448","1,425","1,499","1,954","2,658","3,109","3,583","3,812","3,404","3,669","4,045","4,134","4,286","4,403","4,818","5,004","5,777","5,829","6,408","2,568","1,459"
Latvia,Cruise(thousands),,9,20,36,37,36,26,76,79,69,92,89,120,177,181,219,268,,,,254,279,505,800,,,
Lebanon,Overnight(thousands),450,424,558,631,673,742,837,956,"1,016","1,278","1,140","1,063","1,017","1,333","1,844","2,168","1,655","1,366","1,274","1,355","1,518","1,688","1,857","1,964","1,936",414,890
Lesotho,Total(thousands),209,312,313,290,308,302,295,287,329,304,304,357,300,293,344,426,398,423,433,"1,079","1,082","1,196","1,137","1,173","1,142",,279
Lesotho,Overnight(thousands),87,134,144,150,186,,,,,,,347,292,285,320,414,397,317,320,,,,,,,,
Lesotho,OneDay(thousands),122,178,169,140,121,,,,,,,10,8,8,24,11,0.5,106,113,,,,,,,,
Libya,Total(thousands),"1,832","1,276",913,850,965,963,953,858,958,,,125,106,760,,,,,,,,,,,,,
Libya,Overnight(thousands),56,88,50,32,178,174,169,135,142,43,81,42,38,34,,,,,,,,,,,,,
Libya,OneDay(thousands),"1,776","1,188",863,818,787,789,784,723,816,,,84,68,8,,,,,,,,,,,,,
Libya,Cruise(thousands),,,,,,,,,,,,84,68,8,,,,,,,,,,,,,
Lithuania,Total(thousands),"2,600","3,497","3,702","4,287","4,454","4,092","4,195","3,999","3,635",,,,"4,251","4,459","4,001","4,073","4,504","4,979","5,264","5,217","5,048","5,322","5,590","6,115","6,150","2,284","2,096"
Lithuania,Overnight(thousands),650,832,"1,012","1,416","1,422","1,083","1,271","1,428","1,491","1,800","2,000","2,180","1,486","1,611","1,341","1,507","1,775","1,900","2,012","2,063","2,071","2,296","2,523","2,825","2,875",937,948
Lithuania,OneDay(thousands),"1,950","2,665","2,690","2,871","3,032","3,009","2,924","2,571","2,144",,,,"2,765","2,848","2,660","2,566","2,729","3,079","3,252","3,155","2,977","3,026","3,067","3,290","3,275","1,348","1,148"
Lithuania,Cruise(thousands),,,,,4,5,6,8,9,14,24,25,37,32,34,35,22,27,33,58,60,64,75,,,,
Luxembourg,Overnight(thousands),768,724,778,789,863,852,836,885,867,878,913,908,914,877,847,805,874,950,945,"1,038","1,090","1,054","1,046","1,018","1,041",525,756
Madagascar,Total(thousands),115,,,,,,,,,,,,,,,,,,,,282,333,285,360,486,87,8
Madagascar,Overnight(thousands),75,83,101,121,138,160,170,62,139,229,277,312,344,375,163,196,225,256,196,222,244,293,255,291,384,68,8
Madagascar,OneDay(thousands),10,,,,,,,,,,,,,,,,,,,,38,40,30,69,102,19,
Madagascar,Cruise(thousands),10,,,,,,,,,,,,,,,,,,,,38,40,30,69,102,19,
Malawi,Overnight(thousands),192,194,207,220,254,228,266,383,424,427,438,638,735,742,755,746,767,770,795,819,805,849,837,871,978,199,432
Malaysia,Total(thousands),"14,885","14,084","12,591","10,886","13,910","17,213","22,995","20,756","16,293","24,432","24,209","25,298","28,325","25,321","31,509",,,,,,,,,,"35,046","6,102",399
Malaysia,Overnight(thousands),"7,469","7,138","6,211","5,551","7,931","10,222","12,775","13,292","10,577","15,703","16,431","17,547","20,973","22,052","23,646","24,577","24,714","25,033","25,715","27,437","25,721","26,757","25,948","25,832","26,101","4,333",135
Malaysia,OneDay(thousands),"7,416","6,946","6,380","5,335","5,979","6,991","10,219","7,464","5,716","8,729","7,778","7,751","7,352","3,269","7,863",,,,,,,,,,"8,945","1,769",265
Maldives,Overnight(thousands),315,339,366,396,430,467,461,485,564,617,395,602,676,683,656,792,931,958,"1,125","1,205","1,234","1,286","1,390","1,484","1,703",555,"1,322"
Maldives,OneDay(thousands),,,,,,7,5,3,4,4,4,3,6,2,3,0.5,0.2,9,2,,,,,,,,
Maldives,Cruise(thousands),,,,,,7,5,3,4,4,4,3,6,2,3,0.5,0.2,9,2,,,,,,,,
Mali,Overnight(thousands),42,98,75,83,82,86,89,96,110,113,143,153,164,190,160,169,160,134,142,168,159,173,193,203,217,75,168
Malta,Total(thousands),"1,193","1,123","1,238","1,326","1,402","1,387","1,439","1,483","1,512","1,428","1,484","1,521","1,723","1,832","1,608","1,815","1,916","2,007","2,013","2,162","2,383","2,592","2,944","3,232","3,519",718,"1,110"
Malta,Overnight(thousands),"1,116","1,054","1,111","1,182","1,214","1,216","1,180","1,134","1,127","1,156","1,171","1,124","1,244","1,291","1,182","1,339","1,415","1,443","1,582","1,690","1,783","1,966","2,274","2,599","2,753",659,968
Malta,OneDay(thousands),77,69,127,144,188,171,259,349,385,272,314,397,479,542,426,476,501,563,431,472,600,626,670,633,766,59,142
Malta,Cruise(thousands),77,69,127,144,188,171,259,349,385,272,314,397,479,542,426,476,501,563,431,472,600,626,670,633,766,59,142
Marshall Islands,Total(thousands),,,,,,,,,,,,,,,,,,,,,,6.5,7.9,,,2,
Marshall Islands,Overnight(thousands),5.5,6.2,6.4,6.4,4.6,5.2,5.4,6,7.2,9,9.2,5.8,7.2,6,5.4,4.6,4.6,4.6,,4.9,6.3,5.4,6,6.8,6.1,1.2,0.04
Marshall Islands,OneDay(thousands),,,,,,,,,,,,,,,,,,,,,,1.1,1.9,,,0.8,
Marshall Islands,Cruise(thousands),,,,,,,,,,,,,,,,,,,,,,1.1,1.9,,,,
Mauritius,Total(thousands),437,509,558,579,600,678,675,709,721,739,782,807,933,970,890,956,983,984,"1,015","1,065","1,174","1,307","1,371","1,431","1,418",316,180
Mauritius,Overnight(thousands),422,487,536,558,578,656,660,682,702,719,761,788,907,930,871,935,965,965,993,"1,038","1,151","1,275","1,342","1,399","1,383",309,180
Mauritius,OneDay(thousands),15,22,22,21,22,22,14,28,19,20,21,18,26,40,19,22,18,19,22,27,23,32,30,32,35,7,1
Mauritius,Cruise(thousands),6,12,13,13,11,11,6,18,9,9,9,8,9,13,14,9,6,6,9,13,7,11,7,9,13,1,
Mexico,Total(thousands),"85,446","90,394","92,915","95,214","99,869","105,673","100,718","100,153","92,330","99,250","103,146","97,701","93,582","92,948","88,044","81,953","75,732","76,749","78,100","81,042","87,129","94,853","99,349","96,497","97,406","51,128","55,301"
Mexico,Overnight(thousands),"20,241","21,395","19,351","19,392","19,043","20,641","19,810","19,667","18,665","20,618","21,915","21,353","21,606","22,931","22,346","23,290","23,403","23,403","24,151","29,346","32,093","35,079","39,291","41,313","45,024","24,824","31,860"
Mexico,OneDay(thousands),"65,205","68,999","73,564","75,822","80,826","85,032","80,908","80,487","73,664","78,632","81,231","76,348","71,976","70,017","65,698","58,664","52,329","53,346","53,950","51,696","55,035","59,774","60,058","55,184","52,382","26,845","23,441"
Mexico,Cruise(thousands),"1,697","2,142","2,253","2,246","3,048","3,467","3,805","5,136","4,974","6,493","6,707","6,516","6,943","6,491","5,701","6,048","5,289","5,199","4,555","5,785","6,115","6,695","7,681","8,271","9,095","2,580","1,754"
"Micronesia, Fed. Sts.",Overnight(thousands),,18,17,13,16,21,15,19,18,19,19,19,21,26,48,45,35,38,42,35,31,30,,19,18,,
Moldova,Total(thousands),32.8,28.9,21.2,19.9,14.1,19,15.7,20.2,23.6,,,,,,,,,,,,,,,,,,
Moldova,Overnight(thousands),32,29,21,19,14,18,16,18,21,69,67,63,70,73,60,64,75,89,96,94,94,121,145,160,174,29,69
Moldova,OneDay(thousands),1,0.1,,0.5,0.3,0.8,0.2,2,3,,,,,,,,,,,,,,,,,,
Mongolia,Total(thousands),108,71,82,197,160,158,192,235,205,305,345,408,455,469,465,557,627,624,515,506,467,471,543,598,637,67,39
Mongolia,Overnight(thousands),,,,165,155,154,187,229,201,301,339,404,452,446,412,456,460,476,418,393,386,404,469,529,577,59,33
Montenegro,Overnight(thousands),,,,,,,,136,142,188,272,378,984,"1,031","1,044","1,088","1,201","1,264","1,324","1,350","1,560","1,662","1,877","2,077","2,510",351,"1,554"
Morocco,Total(thousands),"2,752","2,856","3,203","3,267","4,088","4,458","4,596","4,709","5,021","5,732","6,077","6,777","7,701","8,209","8,661","9,752","9,784","9,830","10,349","10,507","10,542","10,677","11,540","12,489","13,109","2,802","3,722"
Morocco,Overnight(thousands),"2,602","2,693","3,072","3,095","3,817","4,278","4,380","4,453","4,761","5,477","5,843","6,558","7,408","7,879","8,341","9,288","9,342","9,375","10,046","10,283","10,177","10,332","11,349","12,289","12,932","2,778","3,722"
Morocco,OneDay(thousands),150,163,131,172,271,180,216,255,260,256,233,218,293,330,319,464,442,455,303,224,365,345,191,200,177,24,
Morocco,Cruise(thousands),150,163,131,172,271,180,216,255,260,256,233,218,293,330,319,464,442,455,303,224,365,345,191,200,177,24,
Mozambique,Total(thousands),,,,,,,404,943,726,711,954,"1,095","1,259","1,439","1,711","1,836","2,013","2,206","1,970","1,751","1,634","1,715","1,514","2,870","2,033",959,549
Mozambique,Overnight(thousands),,,,,,,323,541,441,470,578,664,771,"1,193","1,461","1,718","1,902","2,113","1,886","1,661","1,552","1,639","1,447","2,743","2,019",952,492
Mozambique,OneDay(thousands),,,,,,,81,402,285,241,376,431,488,246,250,118,111,93,83,90,82,76,67,127,14,7,57
Myanmar,Overnight(thousands),194,490,491,478,435,416,475,487,597,657,660,630,716,731,763,792,816,"1,059","2,044","3,081","4,681","2,907","3,443","3,551","4,364",903,131
Namibia,Total(thousands),421,560,610,681,694,759,700,799,739,986,856,961,"1,048","1,079","1,100","1,114","1,163","1,245","1,327","1,429","1,488","1,551","1,581","1,639","1,651",187,261
Namibia,Overnight(thousands),272,461,502,614,635,656,670,757,695,716,778,833,929,931,980,984,"1,027","1,079","1,176","1,320","1,388","1,469","1,499","1,557","1,596",170,233
Namibia,OneDay(thousands),149,99,108,67,59,103,30,42,44,,78,127,119,148,120,130,136,166,151,109,100,82,82,82,55,18,29
Nepal,Overnight(thousands),363,394,422,464,492,464,361,275,338,385,375,384,527,500,510,603,736,803,798,790,539,753,940,"1,173","1,197",230,151
Netherlands,Overnight(thousands),"6,574","6,580","7,841","9,312","9,874","10,003","9,500","9,595","9,181","9,646","10,012","10,739","11,008","10,104","9,921","10,883","11,300","11,680","12,783","13,925","15,007","15,828","17,924","18,780","20,129","7,265","6,248"
New Zealand,Total(thousands),"1,409","1,529","1,497","1,485","1,607","1,787","1,909","2,045","2,104","2,334","2,366","2,409","2,455","2,483","2,473","2,530","2,617","2,574","2,710","2,854","3,129","3,494","3,723","3,858","3,888",996,207
New Zealand,Overnight(thousands),,,,"1,475","1,596","1,780","1,900","2,026","2,086","2,325","2,353","2,390","2,434","2,371","2,373","2,435","2,511","2,473","2,629","2,772","3,039","3,370","3,555","3,686","3,702",948,205
New Zealand,OneDay(thousands),,,,10,11,7,9,19,18,9,13,19,21,112,100,95,105,101,81,82,90,124,168,172,186,48,2
New Zealand,Cruise(thousands),,,,10,11,7,9,19,18,9,13,19,21,36,26,19,22,19,35,33,28,30,42,44,56,29,
Nicaragua,Total(thousands),341,388,453,483,530,581,584,579,646,735,804,891,978,"1,011","1,010","1,071","1,122","1,233","1,273","1,390","1,456","1,596","1,958","1,412","1,455",474,312
Nicaragua,Overnight(thousands),281,303,358,406,468,486,483,472,526,615,712,749,800,858,932,"1,011","1,060","1,180","1,229","1,330","1,386","1,504","1,787","1,256","1,295",384,222
Nicaragua,OneDay(thousands),58,84,95,77,62,96,100,107,120,120,92,142,178,153,78,60,61,53,44,61,70,92,171,157,159,90,90
Nicaragua,Cruise(thousands),,,,,,13,10,5,10,7,13,15,21,60,56,37,39,41,32,51,46,63,94,83,86,25,
Niger,Overnight(thousands),35,68,68,41,39,50,52,39,55,57,58,60,48,73,66,74,82,94,123,135,135,152,164,157,192,85,
Nigeria,Total(thousands),"1,031","1,230","1,292","1,357","1,425","1,492","1,753","2,046","2,253","2,646","2,778","3,056","5,239","5,820","6,053","6,113","3,765","4,673","4,038","4,803","6,017","5,265","5,182","5,254","5,361","1,209","1,246"
Nigeria,Overnight(thousands),656,822,611,739,776,813,850,887,924,962,"1,010","1,111","1,212","1,313","1,414","1,555",715,486,600,,"1,255","1,889","1,927","1,966","2,005",502,518
North Macedonia,Overnight(thousands),147,136,121,157,181,224,99,123,158,165,197,202,230,255,259,262,327,351,400,425,486,510,631,707,758,118,294
Norway,Total(thousands),,,,"5,045","5,123","5,121","5,115","4,543","4,686","5,130","5,418","5,738","6,017","6,054","6,114","6,578","6,693",,,,,,,,,,
Norway,Overnight(thousands),"2,880","2,746","2,702","3,256","3,223","3,104","3,073","3,111","3,269","3,628","3,824","4,070","4,377","4,347","4,346","4,767","4,963","4,538","4,778","4,855","5,361","5,960","6,252","5,688","5,879","1,397","1,435"
Norway,OneDay(thousands),,,,"1,789","1,900","2,017","2,042","1,432","1,417","1,502","1,594","1,668","1,640","1,707","1,768","1,811","1,730",,,,,,,,,,
Norway,Cruise(thousands),,,,643,681,770,804,210,254,302,324,355,332,381,430,411,457,588,620,574,511,659,749,852,901,,
Oman,Total(thousands),,,,,,,"1,095","1,112","1,210","1,407","1,101","1,385","1,360","1,540","1,584","1,500","1,393","1,714","1,923","2,225","2,634","3,207","3,178","3,242","3,506",869,652
Oman,Overnight(thousands),279,349,376,424,503,571,829,817,"1,039","1,195",891,"1,066","1,223","1,373","1,521","1,441","1,018","1,241","1,392","1,611","1,909","2,335","2,316","2,301","2,500",622,464
Oman,OneDay(thousands),,,,,,,266,295,171,212,211,319,136,166,64,59,375,473,531,614,725,872,863,941,"1,006",246,188
Oman,Cruise(thousands),,,,,,,,,,,,,,,,,,257,202,127,148,217,222,193,283,110,17
Pakistan,Overnight(thousands),378,369,375,429,432,557,500,498,501,648,798,898,840,823,855,907,"1,161",966,,,,,,,,,
Palau,Overnight(thousands),53,69,74,64,55,58,54,59,63,89,81,82,88,81,71,85,111,120,108,140,162,138,123,106,94,18,
